Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,
2026-01-01,88731.984375,88803.2265625,87399.40625,87508.046875,18849043990
2026-01-02,89944.6953125,90884.4609375,88298.6171875,88733.0625,46398906171
2026-01-03,90603.1875,90679.5703125,89328.0703125,89945.0546875,20774828592
2026-01-04,91413.4921875,91712.5859375,90595.1015625,90603.0,26770491368
2026-01-05,93882.5546875,94762.0703125,91414.625,91414.625,53376407252
2026-01-06,93729.03125,94395.296875,91286.546875,93876.9453125,52430605257
2026-01-07,91308.0546875,93738.7890625,90601.8046875,93727.46875,43461295053
2026-01-08,91027.125,91485.8515625,89233.875,91309.640625,42386697030
2026-01-09,90513.1015625,91910.671875,89625.3828125,91026.2734375,38305906684
2026-01-10,90386.6484375,90713.03125,90283.3984375,90510.1015625,12385895282
2026-01-11,90827.4609375,91155.2265625,90212.0234375,90385.359375,17165568977
2026-01-12,91192.9921875,92395.5234375,90055.0234375,90825.859375,41346275358
2026-01-13,95321.78125,96011.625,90941.9296875,91185.3359375,54980674354
2026-01-14,96929.328125,97860.6015625,94583.046875,95322.90625,60592490863
2026-01-15,95551.1875,97150.171875,95103.2421875,96931.2890625,53086363027
2026-01-16,95525.1171875,95801.890625,94259.2734375,95554.1015625,33248170537
