r,p,ci_low,ci_high,n,feature,p_fdr,significant
0.2890976331402714,1.9680827575308165e-115,0.16695568084325454,0.4034514967970479,5978,meanrev_signal,6.297864824098613e-114,True
-0.18696343715265942,3.6953999137529196e-48,-0.299166544561537,-0.08271868658495876,5978,win_rate_30d,5.912639862004671e-47,True
-0.1809745427274146,3.536729686729523e-45,-0.2913265268907266,-0.06820590076694409,5977,tail_ratio_30d,3.7725116658448247e-44,True
0.15991873551779318,1.5917506668708068e-37,0.05393614112010979,0.26779470811624634,6329,volume_volatility_7d,1.2734005334966454e-36,True
0.14756297305492347,3.824405713040732e-32,0.04525786545880687,0.2509784170811331,6329,trend_strength_7d,2.4476196563460684e-31,False
0.14407457756777728,4.329701770025047e-29,0.02061814079067141,0.27017517494031107,5977,profit_factor_30d,2.251017877211407e-28,False
0.14377833220036168,5.627544693028517e-29,0.021124976684371164,0.2613474628823699,5977,var_95_30d,2.251017877211407e-28,False
0.13980186220316754,5.425879967342192e-29,0.03074455622578699,0.2545724889313854,6329,volatility_7d,2.251017877211407e-28,False
0.1369337315870167,2.0614060104569614e-26,0.009410396156581867,0.2593449404953804,5977,sharpe_ratio_30d,7.329443592735863e-26,False
0.13371755737082971,2.98373948959611e-25,0.014210330045594426,0.2558254675451314,5977,sortino_ratio_30d,9.547966366707552e-25,False
0.12375673416609781,5.006238860794316e-23,0.020116382957921355,0.23927595785028505,6329,return_entropy_7d,1.4563603958674373e-22,False
0.12111925256607015,5.640300294421478e-21,-0.0033934606833851944,0.24168330101520574,5977,cvar_95_30d,1.504080078512394e-20,False
0.11360433438354094,1.4444745549471678e-19,0.023795167126952958,0.2058242567517882,6306,volume_volatility_24h,3.5556296737161053e-19,False
-0.09512064651415168,3.37582194339746e-14,-0.2140380855747968,0.010080880340862623,6329,return_autocorr_7d,7.716164442051338e-14,False
0.09030756261199835,6.123193406881158e-13,-0.016011475153250604,0.204688166155013,6329,momentum_return_7d,1.306281260134647e-12,False
-0.08547356250007473,3.9475767488199304e-11,-0.21235514574769085,0.04760003462432064,5954,vol_of_vol_30d,7.895153497639861e-11,False
-0.07843182044848943,4.156400629826465e-10,-0.17831622411436104,0.02323917526285204,6329,volume_24h,7.823812950261581e-10,False
-0.05864735946692916,5.704753648665818e-06,-0.1806321541177469,0.06590464161667159,5977,volatility_30d,9.608006145121379e-06,False
-0.057331351655044646,5.022412256725376e-06,-0.1530449914653049,0.026475292406606652,6329,adx,8.928732900845114e-06,False
0.047549829597509745,0.00015419104540994078,-0.04410621927578543,0.15117247594454017,6329,hurst_exponent,0.00024670567265590526,False
0.04613974142573542,0.00024077447841257447,-0.06066472005602777,0.16320448979749316,6329,jump_frequency_7d,0.0003668944432953516,False
0.04469125085492179,0.0003758461327546539,-0.050667720244252465,0.13973862734060227,6329,atr,0.0005466852840067693,False
0.03944409410328164,0.002333485936347041,-0.06559562206953551,0.13627132622070634,5954,fear_greed_proxy,0.0032465891288306656,False
0.03582633551939199,0.004364826764857983,-0.03890146214123522,0.10627208034519718,6329,spread_proxy,0.005819769019810644,False
-0.034045275745682835,0.006754279908047946,-0.10966430131914913,0.04044889655902851,6329,rsi,0.008645478282301371,False
0.029160834248465523,0.020344901312688464,-0.06366791189049843,0.12280632166952532,6329,variance_ratio,0.025039878538693494,False
-0.028415855757417306,0.03935854077092775,-0.15533984747655616,0.09348519126472926,5258,max_drawdown_30d,0.04498118945248886,False
0.02714150108139613,0.03083359156733497,-0.07183814546036199,0.1336735683960502,6329,volatility_24h,0.036543515931656265,False
-0.021570266445884754,0.0861833703238795,-0.10529947072294867,0.06073135233561509,6329,regime_duration,0.09509889139186703,False
-0.016047392840464855,0.20178569542363073,-0.10641411259640311,0.08202655402273665,6329,bb_width,0.21523807511853946,False
0.012335442775756102,0.4968668848053278,-0.050735568978198003,0.07352109716727623,3036,amihud_log,0.5128948488313061,False
-0.0045802599952206365,0.7232922869523725,-0.07097979895620453,0.05465140037888741,5978,volume_z,0.7232922869523725,False
