r,p,ci_low,ci_high,n,feature,p_fdr,significant
-0.38267602104769893,6.4412789505957985e-183,-0.5043028842697708,-0.2654912479624969,5256,max_drawdown_30d,2.0612092641906555e-181,True
0.3021637457968708,1.0494512879198464e-133,0.20421551236476806,0.3944816751957886,6327,trend_strength_7d,1.6791220606717543e-132,True
0.2030235093728611,7.595882684000926e-60,0.10342849759344976,0.3147662062370049,6327,volatility_7d,8.10227486293432e-59,True
-0.18536393246327523,5.1283941569202965e-50,-0.3059317201755917,-0.07544515030528558,6327,return_autocorr_7d,4.102715325536237e-49,True
0.1509499936099145,1.4526717940210702e-33,0.03268981018725361,0.26170180967106316,6327,jump_frequency_7d,9.29709948173485e-33,True
0.1335107654892475,1.4767871526797212e-26,0.03143438149757259,0.24853971791924967,6327,return_entropy_7d,7.87619814762518e-26,False
-0.13244670805149233,8.577760301887916e-25,-0.24363969136931232,-0.0172970273732859,5975,sortino_ratio_30d,3.305431211652538e-24,False
0.1315966152154653,7.672110304028051e-26,0.038252177208900895,0.22899825231513368,6327,hurst_exponent,3.5072504246985375e-25,False
-0.1310501568139673,2.652224901717585e-24,-0.2498710516418266,-0.015798578193827593,5975,sharpe_ratio_30d,8.487119685496273e-24,False
-0.13027204981395157,4.948354016726891e-24,-0.24899465184836103,-0.004331697895370006,5975,profit_factor_30d,1.439521168502368e-23,False
0.12868381689759598,9.296525282772763e-25,0.04351063639610387,0.21732602657074457,6323,volume_volatility_24h,3.305431211652538e-24,False
0.12160424827745972,4.7462688018237355e-21,0.0019989654668309408,0.24595084718248383,5952,vol_of_vol_30d,1.1683123204489195e-20,False
-0.12105421700079952,4.346990291681227e-22,-0.19817688011287926,-0.03591999956876314,6327,adx,1.1591974111149937e-21,False
0.09989453571719357,1.1229974833224811e-14,-0.010384067570427213,0.19965033483662958,5952,fear_greed_proxy,2.395727964421293e-14,False
0.0992019379340408,2.60050572568052e-15,-0.006674515850607769,0.20830107163978007,6327,volatility_24h,5.94401308726976e-15,False
0.09108556268560573,3.9045521247003495e-13,0.022563174281885656,0.15350412306118733,6327,spread_proxy,7.809104249400699e-13,False
-0.08405387346954521,7.620365916083045e-11,-0.20039350721775476,0.03929841750746537,5976,win_rate_30d,1.434421819497985e-10,False
0.06671544016659839,1.086796552656789e-07,-0.039061164566574956,0.18225543964776325,6327,volume_volatility_7d,1.932082760278736e-07,False
-0.06440874294758618,2.935513732936046e-07,-0.16289299902640791,0.030765771724075783,6327,volume_24h,4.944023129155446e-07,False
-0.05676496361328074,1.131177113940091e-05,-0.18733667707917434,0.057040120200059344,5975,cvar_95_30d,1.8098833823041454e-05,False
0.04473140235905692,0.01287674161030015,-0.03897361638636006,0.13784123949009944,3091,amihud_log,0.0187298059786184,False
-0.03274613373659313,0.011355125512256769,-0.15424601338898947,0.08474627619831912,5976,meanrev_signal,0.017303048399629362,False
0.030914422667776865,0.013928173645269938,-0.08693956712371738,0.14601251677409025,6327,momentum_return_7d,0.019378328549940784,False
-0.02066825816186977,0.11016455557132589,-0.14716418329292658,0.09620452737613143,5975,var_95_30d,0.14688607409510118,False
0.015328785982922316,0.23609365779700778,-0.034692090510594895,0.06349116073211497,5976,volume_z,0.30219988198016995,False
0.00975018195208375,0.4380924243705968,-0.10640261248352097,0.11103983476921608,6327,atr,0.5391906761484269,False
0.006529502158534199,0.6138271314238319,-0.10769954636903885,0.12454283695419396,5975,tail_ratio_30d,0.7163212762167314,False
-0.0061143958673704445,0.62678111668964,-0.0877546280806324,0.09182478598055765,6327,bb_width,0.7163212762167314,False
-0.004548726197907291,0.7175409745830271,-0.09187045214258126,0.08201869603247613,6327,regime_duration,0.7917693512640299,False
0.0038918303815569455,0.7569368790162498,-0.09041135067448623,0.09734130996778027,6327,variance_ratio,0.8073993376173332,False
-0.001448114315166563,0.9083152518503771,-0.0781759844364345,0.07050141621464044,6327,rsi,0.9376157438455506,False
0.0003514796692249511,0.9783296981587339,-0.11386203766489808,0.1369197171481549,5975,volatility_30d,0.9783296981587339,False
